,chapter-1.txt,chapter-2.txt,chapter-3.txt,chapter-4.txt,chapter-5.txt,chapter-6.txt,chapter-7.txt
Stefan,1,0,0,0,1,1,0
Asse,1,0,1,1,1,1,0
Witcher,1,1,1,1,1,0,1
Mistle,1,0,1,1,1,1,0
Ciri,1,1,1,1,1,1,1
Assire,1,0,0,0,1,1,0
Zoltan,0,1,1,1,1,0,1
Emhyr,1,1,1,1,1,1,0
Ceallach,1,1,1,0,1,1,1
Yennefer,1,0,1,0,1,1,1
Dandelion,1,1,1,1,1,0,1
Cahir,1,1,1,0,1,1,1
Vattier,1,0,0,0,1,1,0
Percival,0,1,1,1,1,0,1
Philippa,1,1,0,0,1,1,0
Vissegerd,0,0,0,1,1,0,1
Aen,1,1,0,0,0,1,0
Roach,0,1,0,0,1,0,1
Geralt,1,1,1,1,1,1,1
Emiel,0,0,1,1,1,0,1
Field,0,1,1,1,0,0,1
Francesca,1,0,0,0,1,1,0
Vilgefortz,1,0,0,0,1,1,1
Milva,1,1,1,1,1,0,1
Figgis,0,1,1,0,0,0,1
Cirilla,1,0,0,1,1,1,0
Falka,1,0,1,1,1,1,1
Kayleigh,1,0,1,1,1,1,0
Munro,0,1,1,1,0,0,1
